year;film;detail_url;producer(s);production_company(s);wiki_url;winner;production_company;release_dates;running_time;budget;cinematography;country;directed_by;distributed_by;edited_by;language;music_by;produced_by;screenplay_by;starring;story_by;title;written_by;id_json;based_on;box_office;narrated_by;production_companies
2011  (84th);Extremely Loud and Incredibly Close;http://oscars.yipitdata.com/films/Extremely_Loud_and_Incredibly_Close_(film);Scott Rudin;Warner Bros., Scott Rudin Productions;http://en.wikipedia.org/wiki/Extremely_Loud_and_Incredibly_Close_(film);False; Scott Rudin Productions ;   December 25, 2011 ( 2011-12-25 )       ;129 minutes;$40 million;Chris Menges;United States;Stephen Daldry;Warner Bros. Pictures;Claire Simpson;English;Alexandre Desplat;Scott Rudin;Eric Roth;Tom Hanks  Sandra Bullock  Thomas Horn  Max von Sydow  Viola Davis  John Goodman  Jeffrey Wright;;Extremely Loud and Incredibly Close;;487;Extremely Loud and Incredibly Close  by Jonathan Safran Foer;$55.2 million [ 1 ];;
2011  (84th);The Help;http://oscars.yipitdata.com/films/The_Help_(film);Brunson Green , Chris Columbus , and Michael Barnathan;DreamWorks, Touchstone, Participant Media, Imageation Abu Dahbi;http://en.wikipedia.org/wiki/The_Help_(film);False; Touchstone Pictures  DreamWorks Pictures  Reliance Entertainment  Participant Media  Image Nation  1492 Pictures ;   August 9, 2011 ( 2011-08-09 )  (Beverly Hills premiere)  August 10, 2011 ( 2011-08-10 )      ;146 minutes;$25 million [ 1 ];Stephen Goldblatt;United States;Tate Taylor;Walt Disney Studios Motion Pictures;Hughes Winborne;English;Thomas Newman;   Chris Columbus  Michael Barnathan  Brunson Green   ;;   Jessica Chastain  Viola Davis  Bryce Dallas Howard  Allison Janney  Octavia Spencer  Emma Stone   ;;The Help;Tate Taylor;488;The Help  by Kathryn Stockett;$216.6 million [ 2 ];;
2011  (84th);Hugo;http://oscars.yipitdata.com/films/Hugo_(film);Graham King and Martin Scorsese;Paramount, GK Films , Infinitum Nihil;http://en.wikipedia.org/wiki/Hugo_(film);False;    GK Films  Infinitum Nihil    ;   October 10, 2011 ( 2011-10-10 )  ( NYFF )  November 23, 2011 ( 2011-11-23 )      ;126 minutes [ 1 ];$150-170 million [ 3 ];Robert Richardson;United States [ 2 ];Martin Scorsese;Paramount Pictures;Thelma Schoonmaker;English;Howard Shore;   Graham King  Tim Headington  Martin Scorsese  Johnny Depp   ;John Logan;   Ben Kingsley  Sacha Baron Cohen  Asa Butterfield  Chloë Grace Moretz  Ray Winstone  Emily Mortimer  Christopher Lee  Jude Law   ;;Hugo;;489;The Invention of Hugo Cabret  by Brian Selznick;$189 million [ 4 ];;
2011  (84th);Midnight in Paris;http://oscars.yipitdata.com/films/Midnight_in_Paris;Letty Aronson and Stephen Tenenbaum;Sony Pictures Classics;http://en.wikipedia.org/wiki/Midnight_in_Paris;False; Gravier Productions  Mediapro  Televisió de Catalunya (TV3) Versátil Cinema ;   May 11, 2011 ( 2011-05-11 )  ( Cannes )  May 13, 2011 ( 2011-05-13 )  (Spain)  May 20, 2011 ( 2011-05-20 )  (United States)     ;94 minutes [ 1 ];$17 million [ 2 ];Darius Khondji;United States Spain;Woody Allen;Sony Pictures Classics;Alisa Lepselter;English;Stephane Wrembel;Letty Aronson  Stephen Tenenbaum Jaume Roures;;Kathy Bates  Adrien Brody  Carla Bruni  Marion Cotillard  Rachel McAdams  Michael Sheen  Owen Wilson;;Midnight in Paris;Woody Allen;490;;$151,119,219 [ 2 ];;
2011  (84th);Moneyball;http://oscars.yipitdata.com/films/Moneyball_(film);Michael De Luca , Rachael Horovitz , and Brad Pitt;Columbia, Scott Rudin Productions, Michael De Luca Productions;http://en.wikipedia.org/wiki/Moneyball_(film);False;    Scott Rudin Productions  Michael De Luca Productions  Plan B Entertainment    ;   September 9, 2011 ( 2011-09-09 )  (Toronto International Film Festival)  September 23, 2011 ( 2011-09-23 )  (United States)      ;133 minutes [ 1 ];$50 million [ 2 ];Wally Pfister;United States;Bennett Miller;Columbia Pictures;Christopher Tellefsen;English;Mychael Danna;   Michael De Luca  Rachael Horovitz  Brad Pitt   ;   Steven Zaillian  Aaron Sorkin   ;   Brad Pitt  Jonah Hill  Philip Seymour Hoffman   ;Stan Chervin;Moneyball;;491;Moneyball  by Michael Lewis;$110.2 million [ 3 ];;
2011  (84th);The Tree of Life;http://oscars.yipitdata.com/films/The_Tree_of_Life_(film);Sarah Green , Bill Pohlad , Dede Gardner , and Grant Hill;Fox Searchlight, River Road Entertainment;http://en.wikipedia.org/wiki/The_Tree_of_Life_(film);False; River Road Entertainment  Plan B Entertainment ;   May 16, 2011 ( 2011-05-16 )  ( Cannes )  May 27, 2011 ( 2011-05-27 )  (United States)      ;139 minutes [ 1 ];$32 million [ 2 ];Emmanuel Lubezki;United States;Terrence Malick;Fox Searchlight Pictures;   Hank Corwin  Jay Rabinowitz  Daniel Rezende  Billy Weber  Mark Yoshikawa   ;English;Alexandre Desplat;   Sarah Green  Bill Pohlad  Brad Pitt  Dede Gardner  Grant Hill   ;;   Brad Pitt  Sean Penn  Jessica Chastain   ;;The Tree of Life;Terrence Malick;492;;$54.3 million [ 3 ];;
2011  (84th);War Horse;http://oscars.yipitdata.com/films/War_Horse_(film);Steven Spielberg and Kathleen Kennedy;DreamWorks, Touchstone, Amblin Entertainment;http://en.wikipedia.org/wiki/War_Horse_(film);False; Touchstone Pictures  DreamWorks Pictures  Reliance Entertainment  Amblin Entertainment  The Kennedy/Marshall Company ;   December 25, 2011 ( 2011-12-25 )       ;146 minutes [ 1 ];$66 million;Janusz Kamiński;United Kingdom United States India [ 2 ];Steven Spielberg;Walt Disney Studios Motion Pictures;Michael Kahn;English;John Williams;Steven Spielberg  Kathleen Kennedy;Lee Hall  Richard Curtis;Emily Watson  David Thewlis  Peter Mullan  Niels Arestrup  Jeremy Irvine;;War Horse;;493;War Horse by Michael Morpurgo;$177.6 million [ 3 ];;
2012  (85th);Argo;http://oscars.yipitdata.com/films/Argo_(2012_film);Grant Heslov , Ben Affleck , and George Clooney;Warner Bros., GK Films, Smoke House Pictures;http://en.wikipedia.org/wiki/Argo_(2012_film);True; GK Films  Smokehouse Pictures ;   August 31, 2012 ( 2012-08-31 )  (Telluride Film Festival)  October 12, 2012 ( 2012-10-12 )  (United States)      ;120 minutes [ 1 ];$44.5 million [ 2 ];Rodrigo Prieto;United States;Ben Affleck;Warner Bros. Pictures;William Goldenberg;English;Alexandre Desplat;Ben Affleck  George Clooney  Grant Heslov;Chris Terrio;Ben Affleck  Bryan Cranston  Alan Arkin  John Goodman;;Argo;;494;The Master of Disguise  by Antonio J. Mendez  The Great Escape  by Joshuah Bearman;$232.3 million [ 2 ];;
2012  (85th);Amour [K];http://oscars.yipitdata.com/films/Amour_(2012_film);Margaret Menegoz , Stefan Arndt , Veit Heiduschka , and Michael Katz;Sony Pictures Classics, Les Films du Losange, X Filme Creative Pool, Wega Film Production;http://en.wikipedia.org/wiki/Amour_(2012_film);False; Les Films du Losange X-Filme Creative Pool Wega Film  France 3 Cinéma  Canal+ ;   20 May 2012 ( 2012-05-20 )  ( Cannes )  20 September 2012 ( 2012-09-20 )  (Germany)  24 October 2012 ( 2012-10-24 )  (France)     ;127 minutes [ 1 ] [ 2 ];$ 8.9 million [ 3 ];Darius Khondji;France Germany Austria;Michael Haneke;Les Films du Losange (France)  Artificial Eye  (UK)  Sony Pictures Classics  (US);Monika Willi Nadine Muse;French;;Margaret Ménégoz  Stefan Arndt  Veit Heiduschka  Michael Katz;;Jean-Louis Trintignant  Emmanuelle Riva  Isabelle Huppert;;Amour [K];Michael Haneke;495;;$29.9 million [ 3 ];;
2012  (85th);Beasts of the Southern Wild;http://oscars.yipitdata.com/films/Beasts_of_the_Southern_Wild;Dan Janvey, Josh Penn, and Michael Gottwald;Fox Searchlight, Cinereach;http://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild;False; Cinereach Court 13 Journeyman Pictures ;   January 20, 2012 ( 2012-01-20 )  ( Sundance )  June 27, 2012 ( 2012-06-27 )      ;93 minutes [ 1 ];$1.8 million;Ben Richardson;United States;Benh Zeitlin;Fox Searchlight Pictures;Crockett Doob Affonso Gonçalves;English;Dan Romer Benh Zeitlin;Dan Janvey Josh Penn Michael Gottwald;Lucy Alibar Benh Zeitlin;Quvenzhané Wallis  Dwight Henry;;Beasts of the Southern Wild;;496;Juicy and Delicious  by Lucy Alibar;$21.9 million [ 2 ];Quvenzhané Wallis;
2012  (85th);Django Unchained;http://oscars.yipitdata.com/films/Django_Unchained;Stacey Sher , Reginald Hudlin , and Pilar Savone;The Weinstein Co., Columbia, Band Apart;http://en.wikipedia.org/wiki/Django_Unchained;False; The Weinstein Company  Columbia Pictures ;   December 11, 2012 ( 2012-12-11 )  ( Ziegfeld Theatre )  December 25, 2012 ( 2012-12-25 )  (United States)      ;165 minutes [ 1 ];$100 million [ 2 ];Robert Richardson;United States;Quentin Tarantino;The Weinstein Company  (North America)  Columbia Pictures  (International);Fred Raskin;English;;   Stacey Sher  Reginald Hudlin  Pilar Savone   ;;   Jamie Foxx  Christoph Waltz  Leonardo DiCaprio  Kerry Washington  Samuel L. Jackson   ;;Django Unchained;Quentin Tarantino;497;;$425.4 million [ 2 ];;
2012  (85th);Les Misérables;http://oscars.yipitdata.com/films/Les_Mis%C3%A9rables_(2012_film);Tim Bevan , Eric Fellner , Debra Hayward , and Cameron Mackintosh;Universal, Working Title, Cameron Mackintosh Limited;http://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(2012_film);False;;;;;;;;;;;;;;;;;;498;;;;
2012  (85th);Life of Pi;http://oscars.yipitdata.com/films/Life_of_Pi_(film);Gil Netter, Ang Lee , and David Womark;20th Century Fox, Dune Entertainment, Ingenious Media, Haishang Films;http://en.wikipedia.org/wiki/Life_of_Pi_(film);False;    Fox 2000 Pictures  Dune Entertainment  Ingenious Media  Haishang Films [ 1 ]    ;   September 28, 2012 ( 2012-09-28 )  ( NYFF )  November 21, 2012 ( 2012-11-21 )  (United States)      ;127 minutes [ 2 ];US$120 million [ 8 ];Claudio Miranda;United States [ 3 ] [ 4 ] [ 5 ] [ 6 ] [ 7 ];Ang Lee;20th Century Fox;Tim Squyres;English;Mychael Danna;   Gil Netter  Ang Lee  David Womark   ;David Magee;   Suraj Sharma  Irrfan Khan  Tabu  Rafe Spall  Gérard Depardieu   ;;Life of Pi;;499;Life of Pi  by Yann Martel;US$609 million [ 8 ];;
2012  (85th);Lincoln;http://oscars.yipitdata.com/films/Lincoln_(2012_film);Steven Spielberg and Kathleen Kennedy;DreamWorks, Touchstone, 20th Century Fox, Amblin Entertainment;http://en.wikipedia.org/wiki/Lincoln_(2012_film);False; Touchstone Pictures  DreamWorks Pictures  Participant Media  Reliance Entertainment  Amblin Entertainment  The Kennedy/Marshall Company ;   October 8, 2012 ( 2012-10-08 )  ( New York Film Festival )  November 9, 2012 ( 2012-11-09 )  (United States) [ 1 ]      ;150 minutes [ 2 ];$65 million [ 3 ];Janusz Kamiński;United States;Steven Spielberg;Walt Disney Studios Motion Pictures  (North America)  20th Century Fox  (International);Michael Kahn;English;John Williams;Steven Spielberg  Kathleen Kennedy;Tony Kushner;Daniel Day-Lewis  Sally Field  David Strathairn  Joseph Gordon-Levitt  James Spader  Hal Holbrook  Tommy Lee Jones;;Lincoln;;500;Team of Rivals: The Political Genius of Abraham Lincoln  by Doris Kearns Goodwin;$275.3 million [ 4 ];;
2012  (85th);Silver Linings Playbook;http://oscars.yipitdata.com/films/Silver_Linings_Playbook;Donna Gigliotti , Bruce Cohen , and Jonathan Gordon;The Weinstein Co.;http://en.wikipedia.org/wiki/Silver_Linings_Playbook;False;;   September 8, 2012 ( 2012-09-08 )  ( TIFF )  November 16, 2012 ( 2012-11-16 )  (United States)      ;122 minutes [ 1 ];$21 million [ 2 ];Masanobu Takayanagi;United States;David O. Russell;The Weinstein Company;   Jay Cassidy  Crispin Struthers   ;English;Danny Elfman;   Donna Gigliotti  Bruce Cohen  Jonathan Gordon   ;David O. Russell;   Bradley Cooper  Jennifer Lawrence  Robert De Niro  Jacki Weaver  Anupam Kher  Chris Tucker   ;;Silver Linings Playbook;;501;The Silver Linings Playbook  by Matthew Quick;$236.4 million [ 2 ];;
2012  (85th);Zero Dark Thirty;http://oscars.yipitdata.com/films/Zero_Dark_Thirty;Mark Boal , Kathryn Bigelow , and Megan Ellison;Columbia, Annapurna Pictures;http://en.wikipedia.org/wiki/Zero_Dark_Thirty;False; Annapurna Pictures ;   December 19, 2012 ( 2012-12-19 )       ;157 minutes [ 1 ];$40 million [ 2 ];Greig Fraser;United States;Kathryn Bigelow;   Columbia Pictures  (United States)  Universal Pictures  (International)   ;   Dylan Tichenor  William Goldenberg   ;English;Alexandre Desplat;   Kathryn Bigelow  Mark Boal  Megan Ellison   ;;   Jessica Chastain  Jason Clarke  Joel Edgerton   ;;Zero Dark Thirty;Mark Boal;502;;$132.8 million [ 3 ];;
2013  (86th) [ 22 ];12 Years a Slave;http://oscars.yipitdata.com/films/12_Years_a_Slave_(film);Brad Pitt , Dede Gardner , Jeremy Kleiner , Steve McQueen , and Anthony Katagas;Fox Searchlight, Regency Enterprises , River Road Entertainment, Plan B Entertainment , New Regency, Film4 Productions;http://en.wikipedia.org/wiki/12_Years_a_Slave_(film);True;;   August 30, 2013 ( 2013-08-30 )  ( Telluride Film Festival )  November 8, 2013 ( 2013-11-08 )  (United States)  January 10, 2014 ( 2014-01-10 )  (United Kingdom)     ;134 minutes [ 1 ];$22 million [ 2 ];Sean Bobbitt;   United States  United Kingdom   ;Steve McQueen;   Fox Searchlight Pictures  (United States)  Entertainment One and Summit Entertainment  (United Kingdom)   ;Joe Walker;English;Hans Zimmer;   Brad Pitt  Dede Gardner  Jeremy Kleiner  Bill Pohlad  Steve McQueen  Arnon Milchan  Anthony Katagas  Antonio Sudler   ;John Ridley;   Chiwetel Ejiofor  Michael Fassbender  Benedict Cumberbatch  Paul Dano  Paul Giamatti  Lupita Nyong'o  Sarah Paulson  Brad Pitt  Alfre Woodard   ;;12 Years a Slave;;503;Twelve Years a Slave  by Solomon Northup;$187.7 million [ 3 ];;    Regency Enterprises  River Road Entertainment  Plan B Entertainment  New Regency  Film4 Productions    
2013  (86th) [ 22 ];American Hustle;http://oscars.yipitdata.com/films/American_Hustle;Charles Roven , Richard Suckle, Megan Ellison , and Jonathan Gordon;Columbia, Atlas Entertainment , Annapurna Pictures;http://en.wikipedia.org/wiki/American_Hustle;False;;   December 12, 2013 ( 2013-12-12 )  (Australia)  December 13, 2013 ( 2013-12-13 )  (United States)      ;138 minutes [ 1 ];$40 million [ 2 ];Linus Sandgren;United States;David O. Russell;Columbia Pictures;Jay Cassidy  Crispin Struthers  Alan Baumgarten;English;Danny Elfman;Charles Roven  Richard Suckle  Megan Ellison  Jonathan Gordon;;Christian Bale  Bradley Cooper  Amy Adams  Jeremy Renner  Jennifer Lawrence  Louis C.K.  Michael Peña  Alessandro Nivola;;American Hustle;Eric Warren Singer David O. Russell;504;;$251.1 million [ 3 ];; Atlas Entertainment  Annapurna Pictures 
2013  (86th) [ 22 ];Captain Phillips;http://oscars.yipitdata.com/films/Captain_Phillips_(film);Scott Rudin , Dana Brunetti , and Michael De Luca;Columbia, Michael De Luca Productions, Scott Rudin Productions, Trigger Street;http://en.wikipedia.org/wiki/Captain_Phillips_(film);False; Scott Rudin Productions Michael De Luca Productions  Trigger Street Productions ;   September 27, 2013 ( 2013-09-27 )  ( NYFF )  October 11, 2013 ( 2013-10-11 )  (United States)      ;134 minutes [ 1 ];$55 million;Barry Ackroyd;United States;Paul Greengrass;Columbia Pictures;Christopher Rouse;English Somali;Henry Jackman;Scott Rudin  Dana Brunetti  Michael De Luca;Billy Ray;Tom Hanks  Barkhad Abdi;;Captain Phillips;;505;A Captain's Duty  by Richard Phillips Stephan Talty;$218.8 million [ 2 ];;
2013  (86th) [ 22 ];Dallas Buyers Club;http://oscars.yipitdata.com/films/Dallas_Buyers_Club;Robbie Brenner and Rachel Winter;Focus Features, Truth Entertainment, Voltage Pictures;http://en.wikipedia.org/wiki/Dallas_Buyers_Club;False;    Truth Entertainment  Voltage Pictures    ;   September 7, 2013 ( 2013-09-07 )  ( TIFF )  November 1, 2013 ( 2013-11-01 )  (United States)      ;116 minutes;$5 million [ 1 ];Yves Bélanger;United States;Jean-Marc Vallée;Focus Features;John Mac McMurphy  Martin Pensa;English;;   Robbie Brenner  Rachel Winter   ;;   Matthew McConaughey  Jennifer Garner  Jared Leto   ;;Dallas Buyers Club;   Craig Borten  Melisa Wallack   ;506;;$55.2 million [ 2 ];;
2013  (86th) [ 22 ];Gravity;http://oscars.yipitdata.com/films/Gravity_(film);Alfonso Cuarón and David Heyman;Warner Bros., Esperanto Filmoj , Heyday Films;http://en.wikipedia.org/wiki/Gravity_(film);False; Esperanto Filmoj  Heyday Films ;   August 28, 2013 ( 2013-08-28 )  ( Venice )  October 4, 2013 ( 2013-10-04 )  (United States)      ;91 minutes [ 1 ];$100 million [ 3 ];Emmanuel Lubezki;United Kingdom [ 2 ] United States [ 2 ];Alfonso Cuarón;Warner Bros. Pictures;Alfonso Cuarón  Mark Sanger;English;Steven Price;Alfonso Cuarón  David Heyman;;Sandra Bullock  George Clooney;;Gravity;Alfonso Cuarón  Jonás Cuarón;507;;$723.2 million [ 3 ];;
2013  (86th) [ 22 ];Her;http://oscars.yipitdata.com/films/Her_(film);Megan Ellison , Spike Jonze , and Vincent Landay;Warner Bros., Entertainment Film Distributors, Annapurna Pictures;http://en.wikipedia.org/wiki/Her_(film);False; Annapurna Pictures ;   October 13, 2013 ( 2013-10-13 )  ( NYFF )  December 18, 2013 ( 2013-12-18 )  (United States)      ;126 minutes [ 1 ];$23 million [ 2 ];Hoyte van Hoytema;United States;Spike Jonze;Warner Bros. Pictures;   Eric Zumbrunnen  Jeff Buchanan   ;English;Arcade Fire;   Megan Ellison  Spike Jonze  Vincent Landay   ;;   Joaquin Phoenix  Amy Adams  Rooney Mara  Olivia Wilde  Scarlett Johansson   ;;Her;Spike Jonze;508;;$47.4 million [ 2 ];;
2013  (86th) [ 22 ];Nebraska;http://oscars.yipitdata.com/films/Nebraska_(film);Albert Berger and Ron Yerxa;Paramount Vantage, FilmNation Entertainment;http://en.wikipedia.org/wiki/Nebraska_(film);False; FilmNation Entertainment Echo Lake Entertainment Blue Lake Media Fund Bona Fide Productions ;   May 23, 2013 ( 2013-05-23 )  ( Cannes )  November 15, 2013 ( 2013-11-15 )  (United States)      ;114 minutes;$12 million [ 1 ];Phedon Papamichael;United States;Alexander Payne;Paramount Vantage;Kevin Tent;English;Mark Orton;   Albert Berger  Ron Yerxa   ;;   Bruce Dern  Will Forte  June Squibb  Stacy Keach  Bob Odenkirk   ;;Nebraska;Bob Nelson;509;;$19.2 million [ 2 ];;
2013  (86th) [ 22 ];Philomena;http://oscars.yipitdata.com/films/Philomena_(film);Gabrielle Tana, Steve Coogan , and Tracey Seaward;The Weinstein Co., Pathé, BBC Films , British Film Institute, Canal+ , Cine+ , Baby Cow Productions , Magnolia Mae Films;http://en.wikipedia.org/wiki/Philomena_(film);False;;   31 August 2013 ( 2013-08-31 )  ( Venice )  1 November 2013 ( 2013-11-01 )  (United Kingdom)  22 November 2013 ( 2013-11-22 )  (United States)     ;98 minutes [ 1 ];$12 million [ 2 ];Robbie Ryan;   United Kingdom  United States   ;Stephen Frears;   Pathé  (United Kingdom)  The Weinstein Company  (United States)   ;Valerio Bonelli;English;Alexandre Desplat;   Gabrielle Tana  Steve Coogan  Tracey Seaward   ;   Steve Coogan  Jeff Pope   ;   Judi Dench  Steve Coogan   ;;Philomena;;510;The Lost Child of Philomena Lee  by Martin Sixsmith;$100.1 million [ 2 ];;
2013  (86th) [ 22 ];The Wolf of Wall Street;http://oscars.yipitdata.com/films/The_Wolf_of_Wall_Street_(2013_film);Martin Scorsese , Leonardo DiCaprio , Joey McFarland , and Emma Tillinger Koskoff;Paramount, Universal, Red Granite Pictures , Appian Way Productions , Sikelia Productions, Emjag Productions;http://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film);False;;   December 17, 2013 ( 2013-12-17 )  ( Ziegfeld Theatre )  December 25, 2013 ( 2013-12-25 )  (United States)      ;180 minutes [ 1 ];$100 million [ 2 ] [ 3 ];Rodrigo Prieto;United States;Martin Scorsese;Paramount Pictures;Thelma Schoonmaker;English;;   Martin Scorsese  Leonardo DiCaprio  Riza Aziz  Joey McFarland  Emma Tillinger Koskoff   ;Terence Winter;   Leonardo DiCaprio  Jonah Hill  Margot Robbie  Matthew McConaughey  Kyle Chandler  Rob Reiner  Jon Favreau  Jean Dujardin   ;;The Wolf of Wall Street;;511;The Wolf of Wall Street  by Jordan Belfort;$392 million [ 3 ];;    Red Granite Pictures  Appian Way Productions  Sikelia Productions    
2014  (87th) [ 23 ];Birdman or (The Unexpected Virtue of Ignorance);http://oscars.yipitdata.com/films/Birdman_(film);Alejandro G. Iñárritu , John Lesher and James W. Skotchdopole;Fox Searchlight, Regency Enterprises, Worldview Entertainment;http://en.wikipedia.org/wiki/Birdman_(film);True;;   August 27, 2014 ( 2014-08-27 )  ( Venice Film Festival )  October 17, 2014 ( 2014-10-17 )  (United States)      ;119 minutes [ 1 ];$16.5-18 million [ 2 ] [ 3 ];Emmanuel Lubezki;United States;Alejandro G. Iñárritu;Fox Searchlight Pictures;   Douglas Crise  Stephen Mirrione   ;English;Antonio Sánchez  (drum score);   Alejandro G. Iñárritu  John Lesher  Arnon Milchan  James W. Skotchdopole   ;;   Michael Keaton  Zach Galifianakis  Edward Norton  Andrea Riseborough  Amy Ryan  Emma Stone  Naomi Watts   ;;Birdman or (The Unexpected Virtue of Ignorance);   Alejandro G. Iñárritu  Nicolás Giacobone  Alexander Dinelaris Jr.  Armando Bo   ;512;;$103.2 million [ 3 ];;    Regency Enterprises  New Regency Pictures  M Productions  Le Grisbi Productions  TSG Entertainment  Worldview Entertainment    
